rank,country,population,percent_world
Madagascar,"32,658,977",0.4%,1 Jul 2026
Ivory Coast,"32,494,020",0.4%,31 Dec 2025
Nepal,"30,034,040",0.4%,1 Jul 2026
Cameroon,"29,442,327",0.4%,1 Jul 2025
Ukraine,"28,700,000",0.3%,1 Sep 2025
Venezuela,"28,633,711",0.3%,1 Jul 2026
Australia,"27,801,023",0.3%,31 Dec 2025
Niger,"27,522,750",0.3%,1 Jul 2025
Syria,"26,472,497",0.3%,1 Jul 2026
North Korea,"25,950,000",0.3%,1 Jul 2024
Burkina Faso,"24,736,828",0.3%,1 Jul 2026
Taiwan,"23,235,002",0.3%,31 Jul 2026
Mali,"22,395,489",0.3%,15 Jun 2022
Sri Lanka,"21,781,800",0.3%,19 Dec 2024
Malawi,"21,201,635",0.3%,1 Jul 2026
Kazakhstan,"20,590,589",0.2%,1 Jul 2026
Somalia,"20,305,907",0.2%,1 Jul 2026
Chile,"20,150,948",0.2%,30 Jun 2026
Chad,"20,031,602",0.2%,1 Jul 2026
Zambia,"19,693,423",0.2%,8 Sep 2022
Senegal,"19,575,061",0.2%,1 Jul 2026
Romania,"19,036,031",0.2%,1 Jan 2025
Guatemala,"18,312,373",0.2%,1 Jul 2026
Netherlands,"18,153,386",0.2%,30 Jun 2026
Ecuador,"18,103,660",0.2%,1 Jul 2025
Cambodia,"17,816,143",0.2%,1 Jul 2026
Guinea,"17,521,167",0.2%,1 Jul 2025
Zimbabwe,"17,073,087",0.2%,1 Jul 2025
South Sudan,"15,786,898",0.2%,1 Jul 2025
Rwanda,"14,418,145",0.2%,1 Jul 2026
Benin,"13,551,992",0.2%,1 Jul 2026
Burundi,"12,332,788",0.1%,16 Aug 2024
Tunisia,"11,972,169",0.1%,6 Nov 2024
Jordan,"11,937,000",0.1%,31 Dec 2025
Belgium,"11,936,546",0.1%,1 Apr 2026
Haiti,"11,867,032",0.1%,1 Jul 2024
Portugal,"11,424,031",0.1%,31 Dec 2025
Bolivia,"11,365,333",0.1%,23 Mar 2024
United Arab Emirates,"11,294,243",0.1%,31 Dec 2024
Czech Republic,"10,896,003",0.1%,31 Mar 2026
Dominican Republic,"10,771,504",0.1%,10 Nov 2022
Tajikistan,"10,721,000",0.1%,1 Jan 2026
Sweden,"10,608,128",0.1%,31 May 2026
Greece,"10,372,335",0.1%,1 Jan 2025
Azerbaijan,"10,266,627",0.1%,1 Mar 2026
Israel,"10,263,300",0.1%,30 Jun 2026
Honduras,"10,186,738",0.1%,1 Jul 2026
Papua New Guinea,"10,185,363",0.1%,16 Jun 2024
Hungary,"9,488,428",0.1%,1 Jan 2026
Cuba,"9,434,593",0.1%,1 Jan 2026
Sierra Leone,"9,270,700",0.1%,1 Jul 2026
Austria,"9,217,573",0.1%,1 Jul 2026
Switzerland,"9,139,676",0.1%,31 Mar 2026
Belarus,"9,056,080",0.1%,1 Jan 2026
Togo,"8,095,498",0.10%,8 Nov 2022
Laos,"7,745,000",0.09%,1 Jul 2025
Libya,"7,539,852",0.09%,1 Jul 2026
Hong Kong (China),"7,510,800",0.09%,31 Dec 2025
Kyrgyzstan,"7,404,300",0.09%,1 Jan 2026
Turkmenistan,"7,057,841",0.09%,17 Dec 2022
Nicaragua,"6,874,748",0.08%,30 Jun 2024
Serbia,"6,532,019",0.08%,1 Jan 2026
Central African Republic,"6,470,307",0.08%,1 Jul 2024
Bulgaria,"6,423,207",0.08%,31 Dec 2025
Republic of the Congo,"6,142,180",0.07%,17 May 2023
Singapore,"6,110,200",0.07%,30 Jun 2025
Paraguay,"6,109,644",0.07%,9 Nov 2022
Denmark,"6,031,699",0.07%,1 Jul 2026
El Salvador,"6,029,976",0.07%,2 May 2024
Lebanon,"5,895,466",0.07%,2026
Finland,"5,652,897",0.07%,30 Jun 2026
Norway,"5,633,770",0.07%,31 Mar 2026
Palestine,"5,557,096",0.07%,31 Dec 2025
Ireland,"5,458,600",0.07%,1 Apr 2025
Slovakia,"5,405,368",0.07%,31 Mar 2026
Oman,"5,398,645",0.07%,30 Jun 2026
New Zealand,"5,361,300",0.06%,31 Mar 2026
Liberia,"5,248,621",0.06%,10 Nov 2022
Costa Rica,"5,217,296",0.06%,30 Jun 2026
Mauritania,"4,927,532",0.06%,25 Dec 2023
Kuwait,"4,881,254",0.06%,1 Jan 2025
Panama,"4,064,780",0.05%,1 Jul 2026
Georgia,"3,941,100",0.05%,1 Jan 2026
Croatia,"3,866,233",0.05%,1 Jul 2024
Eritrea,"3,682,669",0.04%,1 Jul 2026
Mongolia,"3,591,120",0.04%,31 Dec 2025
Uruguay,"3,480,601",0.04%,30 Jun 2026
Bosnia and Herzegovina,"3,412,000",0.04%,1 Jul 2024
Qatar,"3,370,611",0.04%,31 Mar 2026
Puerto Rico (US),"3,184,835",0.04%,1 Jul 2025
Armenia,"3,096,900",0.04%,1 Jan 2025
Namibia,"3,022,401",0.04%,24 Sep 2023
Lithuania,"2,886,179",0.03%,1 Jul 2026
Jamaica,"2,774,538",0.03%,12 Sep 2022
Gabon,"2,469,296",0.03%,1 Jul 2025
Gambia,"2,422,712",0.03%,1 May 2024
Moldova,"2,365,600",0.03%,1 Jan 2026
Botswana,"2,359,609",0.03%,18 Mar 2022
Albania,"2,335,930",0.03%,1 Jan 2026
Slovenia,"2,136,385",0.03%,1 Apr 2026
Lesotho,"2,116,427",0.03%,2024
Guinea-Bissau,"1,890,252",0.02%,1 Jul 2026
Latvia,"1,832,100",0.02%,1 Jul 2026
North Macedonia,"1,819,074",0.02%,31 Dec 2025
Equatorial Guinea,"1,668,768",0.02%,1 Jul 2024
Bahrain,"1,603,260",0.02%,30 Jun 2025
Kosovo,"1,585,566",0.02%,4 Apr 2024
Timor-Leste,"1,409,452",0.02%,1 Jul 2026
Trinidad and Tobago,"1,367,764",0.02%,30 Jun 2025
Estonia,"1,360,745",0.02%,1 Jan 2026
Mauritius,"1,241,856",0.02%,31 Dec 2025
Eswatini,"1,235,549",0.01%,1 Jul 2024
Djibouti,"1,066,809",0.01%,20 May 2024
Cyprus,"983,000",0.01%,31 Dec 2024
Guyana,"956,044",0.01%,31 Dec 2024
Comoros,"944,388",0.01%,2026
Fiji,"902,623",0.01%,1 Jan 2026
Bhutan,"784,043",0.009%,2025
Solomon Islands,"750,325",0.009%,1 Jul 2024
Luxembourg,"690,959",0.008%,1 Jan 2026
Macau (China),"686,500",0.008%,30 Jun 2026
Montenegro,"622,902",0.008%,1 Jan 2026
Suriname,"616,500",0.007%,1 Jul 2021
Western Sahara (disputed),"610,813",0.007%,1 Jul 2026
Malta,"588,254",0.007%,31 Dec 2025
Maldives,"515,132",0.006%,13 Sep 2022
Cape Verde,"491,233",0.006%,16 Jun 2021
Northern Cyprus,"476,214",0.006%,31 Dec 2023
Brunei,"458,600",0.006%,1 Jul 2025
Belize,"418,982",0.005%,1 Jul 2026
Bahamas,"398,165",0.005%,4 Apr 2022
Iceland,"396,500",0.005%,1 Jul 2026
Transnistria,"367,776",0.004%,31 Mar 2024
Vanuatu,"321,409",0.004%,1 Jul 2024
French Polynesia (France),"279,500",0.003%,31 Dec 2024
New Caledonia (France),"264,596",0.003%,1 Jan 2025
Barbados,"261,692",0.003%,31 Dec 2025
Abkhazia,"244,236",0.003%,1 Jan 2022
São Tomé and Príncipe,"209,607",0.003%,2024
Samoa,"205,557",0.002%,6 Nov 2021
Saint Lucia,"184,100",0.002%,1 Jul 2023
Curaçao (Netherlands),"156,115",0.002%,1 Jan 2025
Guam (US),"153,836",0.002%,1 Apr 2020
Seychelles,"123,097",0.001%,31 Dec 2025
Kiribati,"120,740",0.001%,1 Jul 2021
Aruba (Netherlands),"110,625",0.001%,31 Dec 2025
Saint Vincent and the Grenadines,"109,296",0.001%,15 Jun 2023
Grenada,"109,021",0.001%,2021
Antigua and Barbuda,"103,603",0.001%,1 Jan 2024
Jersey (UK),"103,267",0.001%,21 Mar 2021
Tonga,"100,179",0.001%,30 Nov 2021
Andorra,"89,752",0.001%,30 Jun 2026
Cayman Islands (UK),"88,833",0.001%,31 Dec 2024
U.S. Virgin Islands (US),"87,146",0.001%,1 Apr 2020
Isle of Man (UK),"84,975",0.001%,1 Apr 2025
Micronesia,"75,817",0.0009%,12 Feb 2023
Dominica,"65,514",0.0008%,2026
Guernsey (UK),"64,781",0.0008%,31 Dec 2023
Bermuda (UK),"64,055",0.0008%,1 Jul 2021
Greenland (Denmark),"56,740",0.0007%,1 Jan 2026
South Ossetia,"56,520",0.0007%,31 Dec 2021
Faroe Islands (Denmark),"55,409",0.0007%,1 Jun 2026
Turks and Caicos Islands (UK),"52,299",0.0006%,1 Jul 2025
Saint Kitts and Nevis,"51,320",0.0006%,2022
American Samoa (US),"49,710",0.0006%,1 Apr 2020
Northern Mariana Islands (US),"47,329",0.0006%,1 Apr 2020
Marshall Islands,"42,418",0.0005%,30 Sep 2021
Sint Maarten (Netherlands),"41,349",0.0005%,1 Jan 2025
Liechtenstein,"41,237",0.0005%,31 Dec 2025
British Virgin Islands (UK),"39,471",0.0005%,1 Jul 2024
Monaco,"38,857",0.0005%,31 Dec 2025
Gibraltar (UK),"38,196",0.0005%,14 Nov 2022
San Marino,"34,167",0.0004%,30 Jun 2026
Saint Martin (France),"31,496",0.0004%,1 Jan 2025
Palau,"16,733",0.0002%,1 Jul 2021
Anguilla (UK),"16,010",0.0002%,31 Dec 2024
Cook Islands (New Zealand),"15,040",0.0002%,1 Jul 2021
Nauru,"11,680",0.0001%,30 Oct 2021
Wallis and Futuna (France),"11,620",0.0001%,24 Jul 2023
Tuvalu,"10,643",0.0001%,12 Dec 2022
Saint Barthélemy (France),"10,562",0.0001%,1 Jan 2025
Saint Pierre and Miquelon (France),"5,819",0%,1 Jan 2025
"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651",0%,1 Jul 2021
Montserrat (UK),"4,386",0%,23 Sep 2023
Falkland Islands (UK),"3,662",0%,10 Oct 2021
Tokelau (New Zealand),"2,608",0%,1 Jan 2025
Norfolk Island (Australia),"2,188",0%,1 Jan 2021
Christmas Island (Australia),"1,692",0%,1 Jan 2021
Niue (New Zealand),"1,681",0%,11 Nov 2022
Vatican City,882,0%,31 Dec 2024
Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020
Pitcairn Islands (UK),40,0%,1 Jul 2023
